,id,account,total_appraised_value_2019,pct_value_change,latitude,longitude,acreage,zip_code,neighborhood_code,sq_ft,neighborhood,new_owner_date,Offense_Count,school_id,school_type,school_rating,flood_risk,sales_neighborhood_2019
115,15303,1210660010003,271599.0,9.999635493238399,29.756870000000003,-95.37906,0.0459,77019,8318.01,1468.0,FOURTH WARD DEED RESTR,2012-09-11,2310,101912058,Elementary,65,1,27
116,15304,1210660010004,280000.0,1.0666137270118572,29.756930699999998,-95.3802949,0.0455,77019,8318.01,1589.0,FOURTH WARD DEED RESTR,2019-10-01,2310,101912058,Elementary,65,1,27
117,15305,1210660010005,238541.0,9.999723318699967,29.7571549,-95.3789171,0.0463,77019,8318.01,1451.0,FOURTH WARD DEED RESTR,2007-03-30,2310,101912058,Elementary,65,1,27
118,15306,1210660010006,274889.0,3.670278363384712,29.7571549,-95.3788948,0.0355,77019,8318.01,1534.0,FOURTH WARD DEED RESTR,2015-11-09,2310,101912058,Elementary,65,1,27
119,15307,1210660010007,253081.0,3.489717722973498,29.7571549,-95.3788724,0.0354,77019,8318.01,1214.0,FOURTH WARD DEED RESTR,2018-06-08,2310,101912058,Elementary,65,1,27
120,15308,1210660010008,183956.0,14.108838726885882,29.756909999999998,-95.38002,0.0655,77019,8318.01,1435.0,FOURTH WARD DEED RESTR,2002-06-26,2310,101912058,Elementary,65,1,27
121,15355,1211410010001,239965.0,10.0,29.754959999999997,-95.38034,0.0569,77019,8318.01,1347.0,FOURTH WARD DEED RESTR,2010-09-08,2310,101912058,Elementary,65,1,27
122,15356,1211410010002,285650.0,3.3286549369139946,29.754959999999997,-95.38025999999999,0.057,77019,8318.01,1458.0,FOURTH WARD DEED RESTR,2018-04-30,2310,101912058,Elementary,65,1,27
123,15357,1211410010003,274164.0,10.0,29.754959999999997,-95.38018000000001,0.057,77019,8318.01,1503.0,FOURTH WARD DEED RESTR,2006-12-26,2310,101912058,Elementary,65,1,27
124,15358,1211410010004,297700.0,3.3486776784908385,29.754959999999997,-95.3801,0.057,77019,8318.01,1619.0,FOURTH WARD DEED RESTR,2014-09-19,2310,101912058,Elementary,65,1,27
125,15359,1211410010005,179280.0,9.999877287062375,29.754959999999997,-95.38002,0.057,77019,8318.01,1503.0,FOURTH WARD DEED RESTR,2002-08-07,2310,101912058,Elementary,65,1,27
126,15360,1211410010006,293100.0,8.555555555555555,29.754959999999997,-95.37994,0.0571,77019,8318.01,1587.0,FOURTH WARD DEED RESTR,2002-05-31,2310,101912058,Elementary,65,1,27
127,15361,1211410010007,287476.0,3.344693211394389,29.754959999999997,-95.37987,0.0571,77019,8318.01,1511.0,FOURTH WARD DEED RESTR,2010-06-10,2310,101912058,Elementary,65,1,27
128,15362,1211410010008,283266.0,3.294667634220785,29.754959999999997,-95.37979,0.0571,77019,8318.01,1428.0,FOURTH WARD DEED RESTR,2017-05-02,2310,101912058,Elementary,65,1,27
129,15363,1211410010009,290792.0,3.38315391288272,29.754959999999997,-95.37971,0.0571,77019,8318.01,1546.0,FOURTH WARD DEED RESTR,2018-05-18,2310,101912058,Elementary,65,1,27
130,15364,1211410010010,256117.0,3.2313583232567513,29.75497,-95.37963,0.0571,77019,8318.01,1056.0,FOURTH WARD DEED RESTR,2015-11-09,2310,101912058,Elementary,65,1,27
131,15365,1211410010011,259600.0,10.0,29.754690000000004,-95.37963,0.0571,77019,8318.01,1353.0,FOURTH WARD DEED RESTR,2016-07-28,2310,101912058,Elementary,65,1,27
132,15366,1211410010012,179280.0,9.999877287062375,29.754690000000004,-95.37971,0.0571,77019,8318.01,1628.0,FOURTH WARD DEED RESTR,2009-12-09,2310,101912058,Elementary,65,1,27
